Customer Name,Drink,Branch,Payment Type,Card Number,Date/Time
Aimee,"Tea, 3, £2.86",N/A,,213131674967092,09/12/2024
Natalie,"Flat White, 4, £4.71",,Card,####,04/11/2024
Whitney,"Mocha, ####, £4.16",Kingston,Mobile,UNKNOWN,11/03/2025
Jeremy,"Hot Chocolate, 5, £3.86",Wimbledon,Card,####,30/03/2025
James,"Flat White, 3, £3.66",####,N/A,####,29/10/2024
Kristy,"Espresso, 1, £4.13",N/A,UNKNOWN,,28/03/2025
Jacob,"Tea, 4, £1.89",####,####,,20/02/2025
Steven,"Cappuccino, 1, £4.6",N/A,Mobile,343192620501461,18/04/2025
Tara,"Tea, 3, £2.11",Kingston,N/A,340925911054028,29/10/2024
Zachary,"Mocha, 1, £3.34",Croydon,UNKNOWN,4624294651811899606,16/11/2024
Francisco,"Espresso, None, £2.95",Epsom,UNKNOWN,,11/12/2024
Denise,Mocha 5 £4.88,Wimbledon,Cash,####,13/06/2025
Tiffany,"Cappuccino, UNKNOWN, £3.17",,####,2292958712978834,18/03/2025
Juan,"Tea, 3, £1.94",,,,01/11/2024
Kayla,"Tea, 4, £3.39",####,UNKNOWN,4105585601977,16/08/2024
Bryce,"Latte, 3, £2.65",,Card,UNKNOWN,06/01/2025
Deanna,"Mocha, 4, £1.55",Kingston,UNKNOWN,N/A,21/04/2025
James,"Latte, 1, £4.84",N/A,,6597936715828613,14/02/2025
Courtney,"Tea, 1, £4.15",N/A,,####,26/08/2024
Brittney,"Mocha, 2, £1.62",,UNKNOWN,N/A,31/07/2024
Rebecca,"Flat White, , £3.89",Kingston,Mobile,UNKNOWN,25/11/2024
Amy,"Hot Chocolate, UNKNOWN, £4.34",####,N/A,4284002083769441809,14/03/2025
Matthew,"Hot Chocolate, ####, £4.88",Kingston,N/A,3598079919146882,27/01/2025
Eric,"Tea, None, £2.68",N/A,UNKNOWN,4456895026833412,17/06/2025
Vincent,"Espresso, 3, £2.49",Epsom,N/A,####,11/12/2024
Micheal,"Hot Chocolate, 2, £3.74",,Card,,02/05/2025
Andrew,"Tea, 1, £2.4",####,N/A,3575920251237291,02/03/2025
Terri,"Latte, N/A, £4.76",####,Mobile,502001104517,24/09/2024
Annette,"Latte, 3, £2.29",,Mobile,N/A,24/09/2024
Dennis,Tea 4 £1.6,####,Card,3550463603555168,22/11/2024
Charles,"Cappuccino, 4, £4.31",Kingston,UNKNOWN,3530493366933505,07/11/2024
Debbie,"Cappuccino, 5, £4.77",,,374016080952785,21/04/2025
Deanna,Espresso 2 £2.07,Epsom,####,N/A,04/05/2025
Joshua,Cappuccino 1 £4.05,Epsom,,UNKNOWN,23/08/2024
Mark,"Cappuccino, 4, £2.09",Croydon,Card,N/A,25/08/2024
Adam,"Hot Chocolate, 4, £4.9",####,Cash,2251181219488442,07/12/2024
John,"Hot Chocolate, 1, £1.58",,,####,03/12/2024
Jason,"Hot Chocolate, 3, £4.2",,UNKNOWN,,13/05/2025
Adam,"Espresso, 2, £2.93",Epsom,Mobile,4463599725401,12/10/2024
Michael,"Espresso, 3, £3.35",Wimbledon,Card,5298457919414906,01/11/2024
Nathan,"Tea, 4, £3.97",####,####,3587993595938011,10/01/2025
William,"Hot Chocolate, 1, £2.02",Guildford,####,UNKNOWN,25/05/2025
Natasha,"Mocha, ####, £1.87",N/A,,4768332360372589791,17/12/2024
Kimberly,"Latte, 3, £4.6",,N/A,4498571423666,24/04/2025
Mary,"Flat White, 5, £1.95",Guildford,Mobile,####,01/03/2025
Travis,"Mocha, 1, £2.07",Epsom,,,24/11/2024
Larry,"Flat White, ####, £4.73",Croydon,N/A,376924001781738,07/01/2025
Jessica,"Latte, 2, £4.11",,Mobile,,02/05/2025
Diana,"Mocha, 4, £2.46",####,Card,,18/11/2024
Rebecca,"Cappuccino, 3, £4.69",####,N/A,180079963079245,12/08/2024
Joshua,"Latte, 4, £3.56",####,####,N/A,01/06/2025
Beth,"Mocha, 3, £3.16",,Cash,6580375577142541,17/01/2025
Tracy,"Hot Chocolate, 4, £2.76",,Card,2267668378213464,10/02/2025
Kelli,"Flat White, 1, £3.7",Croydon,UNKNOWN,4519623409587064259,19/02/2025
Michelle,"Espresso, 4, £2.88",N/A,,676386443912,02/01/2025
Mark,Tea 5 £2.54,Epsom,,####,20/03/2025
