Customer Name,Drink,Flavours,Milk,Qty,Price,Branch,Payment Type,Card Number,Date/Time
,Mocha,Vanilla,Oat,3,£4.01,Croydon,Card,4505640768472474,11/06/2024 23:11
Priya,Espresso,No Flavour,Coconut,3.0,£1.52,Ealing,Mobile,,02/02/2024 07:22
Sarah,Hot Chocolate,No Flavour,Soya,4,£1.89,Camden,Mobile,4662478196600394,06/09/2024 13:02
,Espresso,Vanilla,No milk,4,,Ealing,Cash,4906374806012881,13/02/2024 17:10
Daniel,Matcha Latte,Caramel,No milk,2,£4.28,Nottinghill,Card,4512066842310560,24/11/2024 12:54
Emily,Tea,Green,Semi-Skimmed Milk,4,£1.86,Ealing,Card,notacard,23/04/2024 23:32
Emily,Americano,No Flavour,Semi-Skimmed Milk,3,£1.51,Nottinghill,Cash,4128799645619610,23/09/2024 00:19
Priya,Latte,Vanilla,Oat,1,,Croydon,Mobile,4071022842202533,18-08-2024 12:45
Daniel,Matcha Latte,Hazelnut,Soya,4,3.50,Nottinghill,Cash,4948493742583220,28/06/2024 22:50
,Cappuccino,Hazelnut,No milk,2,£2.49,Camden,Mobile,4049617839930745,03/09/2024 02:49
Jessica,Americano,Vanilla,1% Milk,1,£3.65,Brixton,Cash,,2024/08/18
Sarah,Latte,Hazelnut,Semi-Skimmed Milk,1,£3.62,Croydon,Mobile,4798248235508185,09/05/2024 22:54
Tom,Flat White,Vanilla,Oat,3,£2.93,Nottinghill,Cash,4355253884267512,21/02/2024 21:17
Chris,Americano,Hazelnut,Coconut,4,£2.04,Nottinghill,Mobile,4386182843729207,29/09/2024 00:28
Chris,Espresso,Vanilla,Soya,2,£3.41,Croydon,Cash,4256766031792095,13/05/2024 21:34
,Cappuccino,Caramel,Soya,3,£2.52,Croydon,Mobile,4352470373581623,26/07/2024 15:17
Priya,Mocha,Hazelnut,No milk,3,£3.99,London Bridge,Card,notacard,18-08-2024 12:45
Sarah,Tea,English Breakfast,Oat,2,£4.06,Croydon,Card,1234abcd5678,20/07/2024 12:07
Tom,Cappuccino,Hazelnut,Soya,2,£5.76,Brixton,Card,,19/11/2024 17:43
,Mocha,Hazelnut,Oat,1,£4.65,London Bridge,Card,4064562106606471,19/09/2024 10:06
Tom,Mocha,Vanilla,Semi-Skimmed Milk,2,£3.86,Nottinghill,Cash,4890687095860283,33/13/2024 10:00
Sarah,Tea,Green,1% Milk,3,£4.01,Brixton,Cash,4727794276445123,03/09/2024 01:57
Tom,Latte,Hazelnut,Coconut,4,£3.9,Nottinghill,Card,4279152577932093,28/12/2024 18:49
Sarah,Americano,Vanilla,Oat,3,£4.74,Nottinghill,Cash,4291894930498719,24/05/2024 00:49
Dave,Flat White,No Flavour,Semi-Skimmed Milk,3,£1.89,Croydon,Card,4515537456549993,06/06/2024 04:50
,Cappuccino,No Flavour,No milk,3,£2.39,Ealing,Card,4587328625190995,09/01/2024 05:03
,Americano,Hazelnut,1% Milk,3,£5.93,Brixton,Cash,4478279117759722,23/03/2024 12:50
Jessica,Espresso,Caramel,Coconut,3,£3.33,Croydon,Mobile,4026755812321960,07/09/2024 01:31
